item_id,value,date
FOODS_3_090,1046,2011-01-29
FOODS_3_090,1036,2011-01-30
FOODS_3_090,673,2011-01-31
FOODS_3_090,642,2011-02-01
FOODS_3_090,531,2011-02-02
FOODS_3_090,877,2011-02-03
FOODS_3_090,1117,2011-02-04
FOODS_3_090,1311,2011-02-05
FOODS_3_090,1306,2011-02-06
FOODS_3_090,517,2011-02-07
FOODS_3_090,5,2011-02-08
FOODS_3_090,0,2011-02-09
FOODS_3_090,0,2011-02-10
FOODS_3_090,0,2011-02-11
FOODS_3_090,0,2011-02-12
FOODS_3_090,0,2011-02-13
FOODS_3_090,0,2011-02-14
FOODS_3_090,0,2011-02-15
FOODS_3_090,0,2011-02-16
FOODS_3_090,0,2011-02-17
FOODS_3_090,0,2011-02-18
FOODS_3_090,0,2011-02-19
FOODS_3_090,0,2011-02-20
FOODS_3_090,0,2011-02-21
FOODS_3_090,0,2011-02-22
FOODS_3_090,0,2011-02-23
FOODS_3_090,0,2011-02-24
FOODS_3_090,0,2011-02-25
FOODS_3_090,0,2011-02-26
FOODS_3_090,0,2011-02-27
FOODS_3_090,0,2011-02-28
FOODS_3_090,0,2011-03-01
FOODS_3_090,0,2011-03-02
FOODS_3_090,0,2011-03-03
FOODS_3_090,0,2011-03-04
FOODS_3_090,0,2011-03-05
FOODS_3_090,0,2011-03-06
FOODS_3_090,0,2011-03-07
FOODS_3_090,0,2011-03-08
FOODS_3_090,0,2011-03-09
FOODS_3_090,0,2011-03-10
FOODS_3_090,0,2011-03-11
FOODS_3_090,0,2011-03-12
FOODS_3_090,0,2011-03-13
FOODS_3_090,0,2011-03-14
FOODS_3_090,0,2011-03-15
FOODS_3_090,0,2011-03-16
FOODS_3_090,0,2011-03-17
FOODS_3_090,0,2011-03-18
FOODS_3_090,0,2011-03-19
FOODS_3_090,0,2011-03-20
FOODS_3_090,0,2011-03-21
FOODS_3_090,0,2011-03-22
FOODS_3_090,0,2011-03-23
FOODS_3_090,0,2011-03-24
